iter,acc,nmi,ari,L,Lc,Lr
0,0.81266,0.74352,0.69316,0,0,0
140,0.82274,0.7587,0.71236,0.01955,0.04443,0.01511
280,0.83167,0.77406,0.72943,0.03116,0.10624,0.02054
420,0.83639,0.78316,0.73973,0.03738,0.16127,0.02125
560,0.83807,0.78887,0.7451,0.0407,0.19115,0.02159
700,0.83957,0.79216,0.74846,0.03733,0.17709,0.01962
840,0.84014,0.79517,0.75054,0.03719,0.17969,0.01922
980,0.84174,0.798,0.75384,0.03333,0.15721,0.01761
1120,0.84221,0.79818,0.75438,0.03381,0.15458,0.01835
1260,0.84343,0.79955,0.7569,0.03165,0.14554,0.01709
1400,0.84256,0.79884,0.75512,0.03225,0.14862,0.01739
1540,0.84254,0.79887,0.75552,0.02886,0.12663,0.0162
1680,0.84269,0.79901,0.75611,0.0291,0.12804,0.01629
1820,0.84279,0.79932,0.75637,0.03046,0.12801,0.01766
1960,0.8429,0.79938,0.75668,0.02712,0.1159,0.01553
2100,0.84349,0.80021,0.75775,0.0283,0.11133,0.01716
2240,0.84301,0.80004,0.75726,0.02873,0.13296,0.01543
2380,0.84323,0.79952,0.75691,0.0266,0.10299,0.0163
2520,0.84347,0.80019,0.75772,0.02706,0.1047,0.01659
2660,0.84364,0.80014,0.75766,0.02823,0.10367,0.01787
2800,0.84353,0.80006,0.75757,0.02449,0.08932,0.01556
2940,0.84409,0.80065,0.75853,0.02368,0.0879,0.01489
3080,0.84396,0.80026,0.7583,0.02604,0.09684,0.01635
3220,0.845,0.80095,0.75995,0.02392,0.09279,0.01465
3360,0.84601,0.80136,0.76168,0.02343,0.09339,0.01409
3500,0.84524,0.80084,0.76003,0.02341,0.085,0.01491
3640,0.84647,0.80194,0.76217,0.02434,0.0831,0.01603
3780,0.84786,0.80249,0.76453,0.02497,0.0884,0.01613
3920,0.84891,0.80363,0.76642,0.02359,0.08814,0.01478
4060,0.84907,0.80406,0.76684,0.02249,0.0772,0.01477
4200,0.84929,0.80412,0.76668,0.02358,0.0849,0.01509
4340,0.84893,0.80376,0.76589,0.02102,0.06666,0.01435
4480,0.84897,0.80392,0.76583,0.02186,0.0697,0.01489
4620,0.84909,0.80395,0.76604,0.02172,0.07054,0.01467
4760,0.8491,0.8041,0.76626,0.02225,0.06738,0.01552
4900,0.8487,0.80382,0.76577,0.02184,0.07274,0.01457
5040,0.84936,0.8052,0.76808,0.0217,0.06394,0.01531
5180,0.84867,0.80456,0.76699,0.0215,0.07229,0.01427
5320,0.84846,0.80502,0.76704,0.02326,0.06763,0.0165
5460,0.84859,0.80477,0.76707,0.02096,0.07223,0.01374
5600,0.8476,0.80366,0.76511,0.0216,0.06581,0.01502
5740,0.84784,0.80416,0.76575,0.01913,0.05449,0.01368
5880,0.84796,0.80414,0.76602,0.02127,0.06285,0.01498
6020,0.84824,0.80481,0.76662,0.02121,0.067,0.01451
6160,0.84836,0.80473,0.76686,0.01968,0.05432,0.01425
6300,0.84687,0.80242,0.764,0.02347,0.07157,0.01631
6440,0.84729,0.80328,0.76503,0.02028,0.06229,0.01405
6580,0.84727,0.8031,0.76483,0.02006,0.05247,0.01481
6720,0.84753,0.80376,0.76547,0.02096,0.05893,0.01507
6860,0.84813,0.80423,0.76629,0.01956,0.05648,0.01391
7000,0.84821,0.80414,0.76628,0.02102,0.04928,0.01609
7140,0.84839,0.8045,0.76665,0.01862,0.04923,0.0137
7280,0.84819,0.80402,0.76607,0.02054,0.05988,0.01455
7420,0.84889,0.80473,0.76739,0.02108,0.06913,0.01417
7560,0.84907,0.80544,0.76822,0.02064,0.05453,0.01518
7700,0.8499,0.80615,0.76964,0.02032,0.06883,0.01344
7840,0.85023,0.80652,0.77025,0.02112,0.07578,0.01354
7980,0.85109,0.80751,0.77177,0.0209,0.05049,0.01585
8120,0.8513,0.8079,0.77204,0.01789,0.04766,0.01312
8260,0.85123,0.80812,0.77228,0.01889,0.0496,0.01393
8400,0.85083,0.80771,0.7713,0.01999,0.05375,0.01462
8540,0.85121,0.80782,0.77203,0.01764,0.04227,0.01341
8680,0.85093,0.80736,0.7714,0.01971,0.04649,0.01506
8820,0.8516,0.80818,0.77265,0.01873,0.05234,0.0135
8960,0.85187,0.80839,0.77309,0.01941,0.04819,0.01459
